File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:11:11 HST
Showing nodes accounting for 4459.51MB, 41.54% of 10736.28MB total
Dropped 410 nodes (cum <= 53.68MB)
Showing top 60 nodes out of 169
      flat  flat%   sum%        cum   cum%
         0     0% 40.35%     1216MB 11.33%  github.com/snissn/gomap/TreeDB/db.requireNoLegacyCachedRedoJournalReplay
         0     0% 40.35%  1193.68MB 11.12%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0% 40.35%  1115.87MB 10.39%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0% 40.35%   983.58MB  9.16%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 40.35%   983.58MB  9.16%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 40.35%   983.58MB  9.16%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 40.35%   983.58MB  9.16%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
  103.46MB  0.96% 41.31%   942.27MB  8.78%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
    0.50MB 0.0047% 41.32%   917.80MB  8.55%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0% 41.32%   917.80MB  8.55%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
   23.35MB  0.22% 41.54%   899.32MB  8.38%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCollectionInsertBatchByIDPayload
         0     0% 41.54%   899.32MB  8.38%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayload
         0     0% 41.54%   899.32MB  8.38%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayloadV2
