File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:07:00 HST
Showing nodes accounting for 804.26s, 100% of 804.29s total
Dropped 79 nodes (cum <= 4.02s)
Showing top 40 nodes out of 42
      flat  flat%   sum%        cum   cum%
   726.26s 90.30% 90.30%    726.26s 90.30%  runtime.selectgo
         0     0% 90.30%    501.35s 62.33%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 90.30%    118.90s 14.78%  github.com/hashicorp/raft.(*Raft).run
         0     0% 90.30%    118.90s 14.78%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 90.30%    104.51s 12.99%  github.com/hashicorp/raft.(*Raft).pipelineDecode
         0     0% 90.30%    104.51s 12.99%  github.com/hashicorp/raft.(*Raft).pipelineReplicate.func1
         0     0% 90.30%    104.44s 12.99%  github.com/hashicorp/raft.(*inmemPipeline).decodeResponses
         0     0% 90.30%    104.44s 12.99%  github.com/hashicorp/raft.newInmemPipeline.gowrap1
         0     0% 90.30%    104.32s 12.97%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 90.30%    104.32s 12.97%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 90.30%    104.32s 12.97%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 90.30%    103.17s 12.83%  github.com/hashicorp/raft.(*Raft).heartbeat
         0     0% 90.30%    103.17s 12.83%  github.com/hashicorp/raft.(*Raft).replicate.func1
         0     0% 90.30%     80.86s 10.05%  github.com/hashicorp/raft.(*Raft).runFollower
    78.01s  9.70%   100%     78.01s  9.70%  runtime.chanrecv1
         0     0%   100%     70.45s  8.76%  github.com/hashicorp/raft.(*Raft).runFSM
         0     0%   100%     70.45s  8.76%  github.com/hashicorp/raft.(*Raft).runFSM-fm
         0     0%   100%     52.53s  6.53%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%   100%     52.53s  6.53%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%   100%     52.53s  6.53%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%   100%     51.14s  6.36%  runtime.(*wakeableSleep).sleep
         0     0%   100%     49.80s  6.19%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%     49.80s  6.19%  github.com/snissn/gomap/TreeDB/nativewire.(*vectorPartitionProductionNodeGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%     49.80s  6.19%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%   100%     39.96s  4.97%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0%   100%     39.96s  4.97%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0%   100%     39.95s  4.97%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).validateActive
         0     0%   100%     38.71s  4.81%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0%   100%     38.69s  4.81%  github.com/hashicorp/raft.(*deferError).Error
         0     0%   100%     38.69s  4.81%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0%   100%     38.04s  4.73%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0%   100%     38.04s  4.73%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0%   100%        30s  3.73%  github.com/hashicorp/raft.(*Raft).runLeader.gowrap1
         0     0%   100%        30s  3.73%  github.com/hashicorp/raft.emitLogStoreMetrics
         0     0%   100%     26.14s  3.25%  main.main
         0     0%   100%     26.14s  3.25%  main.run
         0     0%   100%     26.14s  3.25%  main.runVectorPartitionSystemNodeV1
         0     0%   100%     26.14s  3.25%  runtime.main
         0     0%   100%     26.04s  3.24%  runtime.traceStartReadCPU.func1
         0     0%   100%     25.10s  3.12%  runtime.(*traceAdvancerState).start.func1
