File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:07:44 HST
Showing nodes accounting for 1275.51MB, 45.48% of 2804.32MB total
Dropped 295 nodes (cum <= 14.02MB)
Showing top 70 nodes out of 158
      flat  flat%   sum%        cum   cum%
         0     0% 31.40%   384.91MB 13.73%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerInto (inline)
  384.91MB 13.73% 45.13%   384.91MB 13.73%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerIntoWithIntegrity
         0     0% 45.13%   379.75MB 13.54%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
    1.50MB 0.053% 45.18%   377.75MB 13.47%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 45.18%   374.25MB 13.35%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 45.18%   368.22MB 13.13%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.attachUint32OffsetsListColumnPayloadsFromImage
         0     0% 45.18%   350.38MB 12.49%  github.com/hashicorp/raft.(*Raft).run
    0.50MB 0.018% 45.20%   343.14MB 12.24%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).acquireRouterSessionV1
         0     0% 45.20%   342.64MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenPreparedVectorPartitionRouterForGenerationWithContextV1
         0     0% 45.20%   342.64MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionRouterWithContextV1
         0     0% 45.20%   342.64MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionRouterWithContextV1.func1
         0     0% 45.20%   342.64MB 12.22%  github.com/snissn/gomap/TreeDB/nativewire.CollectionVectorPartitionCoordinatorRouterSourceV1.OpenVectorPartitionCoordinatorRouterV1
         0     0% 45.20%   342.64MB 12.22%  main.m8TopologyRouterSourceV1.OpenVectorPartitionCoordinatorRouterV1
         0     0% 45.20%   341.91MB 12.19%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
         0     0% 45.20%   335.36MB 11.96%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenPreparedVectorPartitionRouterForGenerationWithContextV1.func1
         0     0% 45.20%   333.77MB 11.90%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0% 45.20%   333.77MB 11.90%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0% 45.20%   333.77MB 11.90%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
         0     0% 45.20%   332.29MB 11.85%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0% 45.20%   332.29MB 11.85%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
         0     0% 45.20%   320.28MB 11.42%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionLifecycleCheckpointWithContextV1
    1.50MB 0.053% 45.25%   312.38MB 11.14%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).StoreLogs
    6.50MB  0.23% 45.48%   244.89MB  8.73%  github.com/hashicorp/raft.(*Raft).appendEntries
         0     0% 45.48%   244.89MB  8.73%  github.com/hashicorp/raft.(*Raft).processRPC
         0     0% 45.48%   244.89MB  8.73%  github.com/hashicorp/raft.(*Raft).runFollower
         0     0% 45.48%   242.71MB  8.65%  github.com/snissn/gomap/TreeDB/collections.vectorPartitionBuildingPromotionIdentityV1
         0     0% 45.48%   228.79MB  8.16%  github.com/snissn/gomap/TreeDB/collections.decodeVectorPartitionLifecycleCheckpointCanonicalWithContextV1
         0     0% 45.48%   214.24MB  7.64%  github.com/snissn/gomap/TreeDB/collections.DecodeVectorPartitionManifestWithContextV1
