File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:05:07 HST
Showing nodes accounting for 2482.71MB, 90.05% of 2757.11MB total
Dropped 272 nodes (cum <= 13.79MB)
Showing top 70 nodes out of 154
      flat  flat%   sum%        cum   cum%
         0     0% 90.05%       18MB  0.65%  github.com/hashicorp/go-msgpack/v2/codec.(*Decoder).kStruct
         0     0% 90.05%       23MB  0.83%  github.com/hashicorp/go-msgpack/v2/codec.(*Decoder).mustDecode
         0     0% 90.05%    20.50MB  0.74%  github.com/hashicorp/go-msgpack/v2/codec.NewDecoder
         0     0% 90.05%    92.01MB  3.34%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 90.05%   225.86MB  8.19%  github.com/hashicorp/raft.(*Raft).processRPC
         0     0% 90.05%    92.01MB  3.34%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 90.05%   328.28MB 11.91%  github.com/hashicorp/raft.(*Raft).run
         0     0% 90.05%   225.86MB  8.19%  github.com/hashicorp/raft.(*Raft).runFollower
         0     0% 90.05%   102.42MB  3.71%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0% 90.05%    68.51MB  2.48%  github.com/hashicorp/raft.(*Raft).setupAppendEntries
         0     0% 90.05%    92.01MB  3.34%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 90.05%   435.30MB 15.79%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 90.05%   340.64MB 12.35%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0% 90.05%   340.64MB 12.35%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0% 90.05%   315.43MB 11.44%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenPreparedVectorPartitionRouterForGenerationWithContextV1
         0     0% 90.05%   307.64MB 11.16%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenPreparedVectorPartitionRouterForGenerationWithContextV1.func1
         0     0% 90.05%   969.86MB 35.18%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 90.05%   337.05MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0% 90.05%   337.05MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
         0     0% 90.05%   954.30MB 34.61%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0% 90.05%    18.35MB  0.67%  github.com/snissn/gomap/TreeDB/collections.(*Collection).columnVectorGraphPhysicalRowReaderSnapshotViewAtSnapshot
         0     0% 90.05%   126.15MB  4.58%  github.com/snissn/gomap/TreeDB/collections.(*Collection).loadColumnVectorGraphTypedColumnVectorPart
         0     0% 90.05%   586.66MB 21.28%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphAdjacencyStateSourcesForReader
