File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:06:07 HST
Showing nodes accounting for 5325.57MB, 50.18% of 10613.79MB total
Dropped 411 nodes (cum <= 53.07MB)
Showing top 60 nodes out of 169
      flat  flat%   sum%        cum   cum%
         0     0% 40.66%  1188.75MB 11.20%  github.com/snissn/gomap/TreeDB/db.legacyCachedRedoJournalReplaySegments
         0     0% 40.66%  1188.75MB 11.20%  github.com/snissn/gomap/TreeDB/db.requireNoLegacyCachedRedoJournalReplay
         0     0% 40.66%  1105.86MB 10.42%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0% 40.66%   969.86MB  9.14%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 40.66%   969.86MB  9.14%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 40.66%   969.86MB  9.14%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 40.66%   969.86MB  9.14%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 40.66%   933.82MB  8.80%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0% 40.66%   933.82MB  8.80%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
  103.46MB  0.97% 41.63%   912.89MB  8.60%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
  882.22MB  8.31% 49.94%   882.22MB  8.31%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.EncodeRawUint32OffsetsListPayload
   24.66MB  0.23% 50.18%   867.59MB  8.17%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCollectionInsertBatchByIDPayload
         0     0% 50.18%   867.59MB  8.17%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayload
