File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: delay
Time: 2026-08-09 14:11:11 HST
Showing nodes accounting for 1816.44s, 100% of 1816.44s total
Dropped 54 nodes (cum <= 9.08s)
      flat  flat%   sum%        cum   cum%
  1631.44s 89.81% 89.81%   1631.44s 89.81%  runtime.selectgo
         0     0% 89.81%   1264.42s 69.61%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0% 89.81%    350.79s 19.31%  github.com/hashicorp/raft.(*Raft).run
         0     0% 89.81%    350.79s 19.31%  github.com/hashicorp/raft.(*Raft).run-fm
         0     0% 89.81%    248.14s 13.66%  github.com/hashicorp/raft.(*Raft).pipelineDecode
         0     0% 89.81%    248.14s 13.66%  github.com/hashicorp/raft.(*Raft).pipelineReplicate.func1
         0     0% 89.81%    248.03s 13.65%  github.com/hashicorp/raft.(*inmemPipeline).decodeResponses
         0     0% 89.81%    248.03s 13.65%  github.com/hashicorp/raft.newInmemPipeline.gowrap1
         0     0% 89.81%    247.77s 13.64%  github.com/hashicorp/raft.(*Raft).pipelineReplicate
         0     0% 89.81%    247.77s 13.64%  github.com/hashicorp/raft.(*Raft).replicate
         0     0% 89.81%    247.77s 13.64%  github.com/hashicorp/raft.(*Raft).startStopReplication.func1
         0     0% 89.81%    244.63s 13.47%  github.com/hashicorp/raft.(*Raft).heartbeat
         0     0% 89.81%    244.63s 13.47%  github.com/hashicorp/raft.(*Raft).replicate.func1
         0     0% 89.81%    236.08s 13.00%  github.com/hashicorp/raft.(*Raft).runFollower
      185s 10.19%   100%       185s 10.19%  runtime.chanrecv1
         0     0%   100%    173.09s  9.53%  github.com/hashicorp/raft.(*Raft).runFSM
         0     0%   100%    173.09s  9.53%  github.com/hashicorp/raft.(*Raft).runFSM-fm
         0     0%   100%    122.94s  6.77%  runtime.(*wakeableSleep).sleep
         0     0%   100%    114.72s  6.32%  github.com/hashicorp/raft.(*Raft).leaderLoop
         0     0%   100%    114.72s  6.32%  github.com/hashicorp/raft.(*Raft).runLeader
         0     0%   100%    100.01s  5.51%  github.com/hashicorp/raft.(*Raft).runLeader.gowrap1
         0     0%   100%    100.01s  5.51%  github.com/hashicorp/raft.emitLogStoreMetrics
         0     0%   100%     62.05s  3.42%  main.main
         0     0%   100%     62.05s  3.42%  main.run
         0     0%   100%     62.05s  3.42%  main.runVectorPartitionSystemNodeV1
         0     0%   100%     62.05s  3.42%  runtime.main
         0     0%   100%     61.96s  3.41%  runtime.traceStartReadCPU.func1
         0     0%   100%     60.99s  3.36%  runtime.(*traceAdvancerState).start.func1
         0     0%   100%      9.51s  0.52%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%   100%      9.51s  0.52%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
         0     0%   100%      9.50s  0.52%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture
         0     0%   100%      9.50s  0.52%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%   100%      9.49s  0.52%  github.com/hashicorp/raft.(*deferError).Error
         0     0%   100%      9.49s  0.52%  github.com/snissn/gomap/TreeDB/internal/raftcluster.waitHashicorpRaftFuture.func1
         0     0%   100%      9.47s  0.52%  github.com/snissn/gomap/TreeDB/internal/raftcluster.(*CatalogMetaRaftProviderV1).LinearizableCatalogMetaAppliedIndexV1
         0     0%   100%      9.47s  0.52%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%      9.47s  0.52%  github.com/snissn/gomap/TreeDB/nativewire.(*LinearizableCatalogVectorPartitionLifecycleAuthorityV1).ValidateVectorPartitionGenerationSearchV1
         0     0%   100%      9.47s  0.52%  github.com/snissn/gomap/TreeDB/nativewire.(*vectorPartitionProductionNodeGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%   100%      9.47s  0.52%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%   100%      9.46s  0.52%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).validateActive
