File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:06:07 HST
Showing nodes accounting for 5095.34MB, 51.05% of 9981.03MB total
Dropped 372 nodes (cum <= 49.91MB)
Showing top 60 nodes out of 139
      flat  flat%   sum%        cum   cum%
         0     0% 40.72%     1001MB 10.03%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0% 40.72%   965.92MB  9.68%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 40.72%   965.92MB  9.68%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 40.72%   965.92MB  9.68%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 40.72%   965.92MB  9.68%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
  120.26MB  1.20% 41.92%   955.43MB  9.57%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
         0     0% 41.92%   955.43MB  9.57%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphTypedColumnVectorSourceForReader
         0     0% 41.92%   952.98MB  9.55%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0% 41.92%   916.90MB  9.19%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
  891.03MB  8.93% 50.85%   891.03MB  8.93%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.EncodeRawUint32OffsetsListPayload
   19.90MB   0.2% 51.05%   868.83MB  8.70%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCollectionInsertBatchByIDPayload
         0     0% 51.05%   868.83MB  8.70%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayload
         0     0% 51.05%   868.83MB  8.70%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayloadV2
