File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:06:07 HST
Showing nodes accounting for 5062.95MB, 50.71% of 9985.01MB total
Dropped 415 nodes (cum <= 49.93MB)
Showing top 60 nodes out of 141
      flat  flat%   sum%        cum   cum%
         0     0% 40.36%   971.64MB  9.73%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 40.36%   971.64MB  9.73%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 40.36%   971.14MB  9.73%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 40.36%   971.14MB  9.73%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 40.36%   967.20MB  9.69%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0% 40.36%   938.66MB  9.40%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0% 40.36%   899.58MB  9.01%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
  892.63MB  8.94% 49.30%   892.63MB  8.94%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.EncodeRawUint32OffsetsListPayload
  120.26MB  1.20% 50.51%   885.68MB  8.87%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
         0     0% 50.51%   885.68MB  8.87%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphTypedColumnVectorSourceForReader
         0     0% 50.51%   865.09MB  8.66%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
   19.90MB   0.2% 50.71%   861.32MB  8.63%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCollectionInsertBatchByIDPayload
         0     0% 50.71%   861.32MB  8.63%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayload
