File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:05:07 HST
Duration: 59.93s, Total samples = 9.18s (15.32%)
Showing nodes accounting for 2.21s, 24.07% of 9.18s total
Dropped 547 nodes (cum <= 0.05s)
Showing top 60 nodes out of 347
      flat  flat%   sum%        cum   cum%
         0     0%     0%      2.91s 31.70%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionProductionTopologyV1).serve.func1.2
         0     0%     0%      2.91s 31.70%  github.com/snissn/gomap/TreeDB/nativewire.VectorPartitionShardSearchTCPServerV1.ServeConn
     0.01s  0.11%  0.11%      2.79s 30.39%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionShardSearchServiceV1).Search
         0     0%  0.11%      2.05s 22.33%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0%  0.11%      2.05s 22.33%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0%  0.11%      1.94s 21.13%  github.com/hashicorp/raft.(*raftState).goFunc.func1
         0     0%  0.11%      1.85s 20.15%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0%  0.11%      1.77s 19.28%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0%  0.11%      1.77s 19.28%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
         0     0%  0.11%      1.76s 19.17%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0%  0.11%      1.71s 18.63%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0%  0.11%      1.67s 18.19%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleAuthorityWithContextV1
         0     0%  0.11%      1.67s 18.19%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).loadVectorPartitionLifecycleCheckpointStateFromDirWithContextV1
         0     0%  0.11%      1.43s 15.58%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1
         0     0%  0.11%      1.43s 15.58%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func2
         0     0%  0.11%      1.43s 15.58%  github.com/snissn/gomap/TreeDB/collections.writeVectorPartitionJSONSliceWithContextV1[go.shape.struct { VectorOrdinal uint64; PartitionID uint32 }]
         0     0%  0.11%      1.31s 14.27%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0%  0.11%      1.31s 14.27%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0%  0.11%      1.31s 14.27%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0%  0.11%      1.31s 14.27%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0%  0.11%      1.29s 14.05%  github.com/hashicorp/raft.(*Raft).run
         0     0%  0.11%      1.29s 14.05%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0%  0.11%      1.22s 13.29%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0%  0.11%      1.21s 13.18%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%  0.11%      1.21s 13.18%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%  0.11%      1.19s 12.96%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%  0.11%      1.19s 12.96%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%  0.11%      1.19s 12.96%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
         0     0%  0.11%      1.16s 12.64%  encoding/json.Marshal
         0     0%  0.11%      1.16s 12.64%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionProductionNodeGenerationSourceV1.PinVectorPartitionGenerationV1
         0     0%  0.11%      1.15s 12.53%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).PinVectorPartitionGenerationV1
         0     0%  0.11%      1.13s 12.31%  github.com/snissn/gomap/TreeDB/nativewire.(*CollectionVectorPartitionGenerationSourceV1).loadGeneration
         0     0%  0.11%      1.12s 12.20%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierV1 (inline)
         0     0%  0.11%      1.10s 11.98%  encoding/json.(*encodeState).marshal
         0     0%  0.11%      1.10s 11.98%  encoding/json.(*encodeState).reflectValue
     1.05s 11.44% 11.55%      1.05s 11.44%  internal/runtime/syscall/linux.Syscall6
         0     0% 11.55%      1.03s 11.22%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
         0     0% 11.55%      1.02s 11.11%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0% 11.55%      1.02s 11.11%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
     0.18s  1.96% 13.51%      1.01s 11.00%  encoding/json.structEncoder.encode
     0.03s  0.33% 13.83%      0.98s 10.68%  encoding/json.arrayEncoder.encode
         0     0% 13.83%      0.98s 10.68%  encoding/json.sliceEncoder.encode
         0     0% 13.83%      0.98s 10.68%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).plan
         0     0% 13.83%      0.97s 10.57%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionCoordinatorCandidateRowsV1
     0.88s  9.59% 23.42%      0.97s 10.57%  github.com/snissn/gomap/TreeDB/nativewire.vectorPartitionCoordinatorCandidateRowsV1.func1 (inline)
     0.02s  0.22% 23.64%      0.95s 10.35%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.validateWithContextV1
         0     0% 23.64%      0.94s 10.24%  syscall.RawSyscall6
     0.01s  0.11% 23.75%      0.92s 10.02%  github.com/hashicorp/raft.(*Raft).runFollower
         0     0% 23.75%      0.91s  9.91%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).StoreLogs
         0     0% 23.75%      0.89s  9.69%  runtime.mcall
         0     0% 23.75%      0.85s  9.26%  runtime.park_m
         0     0% 23.75%      0.85s  9.26%  runtime.schedule
         0     0% 23.75%      0.83s  9.04%  runtime.systemstack
         0     0% 23.75%      0.79s  8.61%  github.com/hashicorp/raft.(*Raft).processRPC
     0.01s  0.11% 23.86%      0.77s  8.39%  github.com/hashicorp/raft.(*Raft).appendEntries
     0.02s  0.22% 24.07%      0.75s  8.17%  go.etcd.io/bbolt.(*Tx).Commit
         0     0% 24.07%      0.73s  7.95%  runtime.findRunnable
         0     0% 24.07%      0.71s  7.73%  syscall.Syscall
         0     0% 24.07%      0.69s  7.52%  github.com/snissn/gomap/TreeDB/collections.EncodeVectorPartitionManifestV1 (inline)
         0     0% 24.07%      0.61s  6.64%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
