File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:10:09 HST
Showing nodes accounting for 1264.74MB, 45.18% of 2799.40MB total
Dropped 269 nodes (cum <= 14MB)
Showing top 70 nodes out of 156
      flat  flat%   sum%        cum   cum%
         0     0% 31.09%   384.91MB 13.75%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerInto (inline)
  384.91MB 13.75% 44.84%   384.91MB 13.75%  github.com/snissn/gomap/TreeDB/collections.readColumnPhysicalAssetFromManagerIntoWithIntegrity
         0     0% 44.84%   382.28MB 13.66%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
    0.50MB 0.018% 44.86%   381.78MB 13.64%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 44.86%   380.78MB 13.60%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 44.86%   374.44MB 13.38%  github.com/snissn/gomap/TreeDB/collections.EncodeVectorPartitionManifestV1 (inline)
         0     0% 44.86%   351.88MB 12.57%  github.com/hashicorp/raft.(*Raft).run
         0     0% 44.86%   344.03MB 12.29%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
         0     0% 44.86%   342.20MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenPreparedVectorPartitionRouterForGenerationWithContextV1
         0     0% 44.86%   342.20MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionRouterWithContextV1
         0     0% 44.86%   342.20MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionRouterWithContextV1.func1
         0     0% 44.86%   342.20MB 12.22%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).acquireRouterSessionV1
         0     0% 44.86%   342.20MB 12.22%  github.com/snissn/gomap/TreeDB/nativewire.CollectionVectorPartitionCoordinatorRouterSourceV1.OpenVectorPartitionCoordinatorRouterV1
         0     0% 44.86%   342.20MB 12.22%  main.m8TopologyRouterSourceV1.OpenVectorPartitionCoordinatorRouterV1
         0     0% 44.86%   341.80MB 12.21%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0% 44.86%   341.80MB 12.21%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
         0     0% 44.86%   335.42MB 11.98%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenPreparedVectorPartitionRouterForGenerationWithContextV1.func1
         0     0% 44.86%   325.20MB 11.62%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionLifecycleCheckpointWithContextV1
         0     0% 44.86%   311.97MB 11.14%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0% 44.86%   311.97MB 11.14%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0% 44.86%   311.97MB 11.14%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
       1MB 0.036% 44.89%   311.87MB 11.14%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).StoreLogs
         0     0% 44.89%   246.18MB  8.79%  github.com/snissn/gomap/TreeDB/collections.decodeVectorPartitionLifecycleCheckpointCanonicalWithContextV1
       8MB  0.29% 45.18%   241.37MB  8.62%  github.com/hashicorp/raft.(*Raft).appendEntries
         0     0% 45.18%   241.37MB  8.62%  github.com/hashicorp/raft.(*Raft).processRPC
         0     0% 45.18%   241.37MB  8.62%  github.com/hashicorp/raft.(*Raft).runFollower
         0     0% 45.18%   232.78MB  8.32%  github.com/snissn/gomap/TreeDB/collections.vectorPartitionBuildingPromotionIdentityV1
         0     0% 45.18%   228.71MB  8.17%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionLocalSearcherV1).SearchWithOptionsV1
