File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:08:49 HST
Showing nodes accounting for 4468.59MB, 41.62% of 10735.66MB total
Dropped 421 nodes (cum <= 53.68MB)
Showing top 60 nodes out of 169
      flat  flat%   sum%        cum   cum%
         0     0% 40.47%  1201.88MB 11.20%  github.com/snissn/gomap/TreeDB/db.legacyCachedRedoJournalReplaySegments
         0     0% 40.47%  1201.88MB 11.20%  github.com/snissn/gomap/TreeDB/db.requireNoLegacyCachedRedoJournalReplay
         0     0% 40.47%  1139.91MB 10.62%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
         0     0% 40.47%   965.40MB  8.99%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 40.47%   965.40MB  8.99%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 40.47%   965.40MB  8.99%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 40.47%   964.90MB  8.99%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 40.47%   947.17MB  8.82%  github.com/snissn/gomap/TreeDB/collections.applyVectorPartitionReadyPromotionV1
         0     0% 40.47%   947.17MB  8.82%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleRecordV1
  103.46MB  0.96% 41.43%   946.38MB  8.82%  github.com/snissn/gomap/TreeDB/collections.encodeVectorPartitionManifestWithContextV1
   20.61MB  0.19% 41.62%   882.57MB  8.22%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCollectionInsertBatchByIDPayload
         0     0% 41.62%   882.57MB  8.22%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayload
         0     0% 41.62%   882.57MB  8.22%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayloadV2
