File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:05:07 HST
Showing nodes accounting for 1255.97MB, 45.55% of 2757.11MB total
Dropped 272 nodes (cum <= 13.79MB)
Showing top 70 nodes out of 154
      flat  flat%   sum%        cum   cum%
       2MB 0.073% 45.48%   372.07MB 13.50%  main.(*vectorPartitionOperationsTCPServerV1).serve
         0     0% 45.48%   372.07MB 13.50%  main.(*vectorPartitionOperationsTCPServerV1).start.func1.1
         0     0% 45.48%   361.53MB 13.11%  github.com/snissn/gomap/TreeDB/vectorpartition.(*OperationsV1).Search
         0     0% 45.48%   354.53MB 12.86%  github.com/snissn/gomap/TreeDB/vectorpartition.(*ServiceV1).Search
    0.50MB 0.018% 45.50%   353.03MB 12.80%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionPublicBackendV1).SearchVectorPartitionV1
         0     0% 45.50%   352.03MB 12.77%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).Search
         0     0% 45.50%   348.16MB 12.63%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
         0     0% 45.50%   340.64MB 12.35%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1
         0     0% 45.50%   340.64MB 12.35%  github.com/snissn/gomap/TreeDB/collections.(*Collection).AcquireVectorPartitionReaderPinWithContextV1.func1
         0     0% 45.50%   340.64MB 12.35%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionStoreV1).OpenWithContext
         0     0% 45.50%   337.05MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1
         0     0% 45.50%   337.05MB 12.22%  github.com/snissn/gomap/TreeDB/collections.(*Collection).PreparedVectorPartitionManifestWithContextV1.func1
         0     0% 45.50%   328.28MB 11.91%  github.com/hashicorp/raft.(*Raft).run
    0.50MB 0.018% 45.52%   315.93MB 11.46%  github.com/snissn/gomap/TreeDB/nativewire.(*VectorPartitionCoordinatorV1).acquireRouterSessionV1
         0     0% 45.52%   315.43MB 11.44%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenPreparedVectorPartitionRouterForGenerationWithContextV1
         0     0% 45.52%   315.43MB 11.44%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionRouterWithContextV1
         0     0% 45.52%   315.43MB 11.44%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionRouterWithContextV1.func1
         0     0% 45.52%   315.43MB 11.44%  github.com/snissn/gomap/TreeDB/nativewire.CollectionVectorPartitionCoordinatorRouterSourceV1.OpenVectorPartitionCoordinatorRouterV1
         0     0% 45.52%   315.43MB 11.44%  main.m8TopologyRouterSourceV1.OpenVectorPartitionCoordinatorRouterV1
         0     0% 45.52%   307.64MB 11.16%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenPreparedVectorPartitionRouterForGenerationWithContextV1.func1
         0     0% 45.52%   305.70MB 11.09%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionLifecycleCheckpointWithContextV1
       1MB 0.036% 45.55%   288.28MB 10.46%  github.com/hashicorp/raft-boltdb/v2.(*BoltStore).StoreLogs
         0     0% 45.55%   241.61MB  8.76%  github.com/snissn/gomap/TreeDB/collections.vectorPartitionBuildingPromotionIdentityV1
         0     0% 45.55%   236.23MB  8.57%  github.com/snissn/gomap/TreeDB/collections.decodeVectorPartitionLifecycleCheckpointCanonicalWithContextV1
         0     0% 45.55%   229.95MB  8.34%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
         0     0% 45.55%   229.95MB  8.34%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphNativeSearchScratch).prepareHNSWSearchPack
         0     0% 45.55%   227.39MB  8.25%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionLocalSearcherV1).SearchWithOptionsV1
         0     0% 45.55%   227.39MB  8.25%  github.com/snissn/gomap/TreeDB/nativewire.searchVectorPartitionDirectV1
