File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: cpu
Time: 2026-08-09 14:10:08 HST
Duration: 63.45s, Total samples = 5.05s ( 7.96%)
Showing nodes accounting for 0.75s, 14.85% of 5.05s total
Dropped 352 nodes (cum <= 0.03s)
Showing top 60 nodes out of 381
      flat  flat%   sum%        cum   cum%
         0     0%  4.16%      0.44s  8.71%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionManifestV1).canonicalizeWithContextV1
         0     0%  4.16%      0.44s  8.71%  runtime.park_m
         0     0%  4.16%      0.43s  8.51%  github.com/snissn/gomap/TreeDB/collections.(*VectorPartitionLocalSearcherV1).SearchWithOptionsV1
         0     0%  4.16%      0.43s  8.51%  github.com/snissn/gomap/TreeDB/nativewire.searchVectorPartitionDirectV1
     0.43s  8.51% 12.67%      0.43s  8.51%  internal/runtime/syscall/linux.Syscall6
         0     0% 12.67%      0.42s  8.32%  github.com/hashicorp/raft.(*Raft).pipelineSend
         0     0% 12.67%      0.39s  7.72%  github.com/hashicorp/raft.(*Raft).run
     0.04s  0.79% 13.47%      0.38s  7.52%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
         0     0% 13.47%      0.38s  7.52%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphTypedColumnVectorSourceForReader
         0     0% 13.47%      0.37s  7.33%  runtime.findRunnable
         0     0% 13.47%      0.37s  7.33%  runtime.mallocgc
     0.07s  1.39% 14.85%      0.36s  7.13%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).searchCosineWithContext
         0     0% 14.85%      0.36s  7.13%  syscall.RawSyscall6
