File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:11:11 HST
Showing nodes accounting for 5040.70MB, 50.51% of 9980.09MB total
Dropped 354 nodes (cum <= 49.90MB)
Showing top 60 nodes out of 140
      flat  flat%   sum%        cum   cum%
         0     0% 40.03%   999.34MB 10.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 40.03%   999.34MB 10.01%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 40.03%   999.34MB 10.01%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 40.03%   999.34MB 10.01%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 40.03%   959.14MB  9.61%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
  902.79MB  9.05% 49.08%   902.79MB  9.05%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.EncodeRawUint32OffsetsListPayload
         0     0% 49.08%   901.03MB  9.03%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
  120.26MB  1.20% 50.28%   900.06MB  9.02%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
         0     0% 50.28%   900.06MB  9.02%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphTypedColumnVectorSourceForReader
         0     0% 50.28%   866.82MB  8.69%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.DecodeRawUint32OffsetsListFallback
         0     0% 50.28%   864.01MB  8.66%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
   22.64MB  0.23% 50.51%   856.55MB  8.58%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCollectionInsertBatchByIDPayload
         0     0% 50.51%   856.55MB  8.58%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayload
