File: treedb_vector_partition_bench
Build ID: 6e601df17e91fc834d40505729b45018b8011783
Type: alloc_space
Time: 2026-08-09 14:08:49 HST
Showing nodes accounting for 5122.26MB, 51.03% of 10037.01MB total
Dropped 344 nodes (cum <= 50.19MB)
Showing top 60 nodes out of 141
      flat  flat%   sum%        cum   cum%
         0     0% 40.68%  1026.66MB 10.23%  github.com/snissn/gomap/TreeDB/collections.WithVectorPartitionStorageBarrierWithContextV1
         0     0% 40.68%   993.73MB  9.90%  github.com/snissn/gomap/TreeDB/collections.reduceVectorPartitionLifecycleCheckpointTailV1
         0     0% 40.68%   971.91MB  9.68%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorPartitionLocalSearcherForGenerationSearchPlanWithContextV1
         0     0% 40.68%   971.91MB  9.68%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorPartitionLocalSearcherForPreparedPartitionWithContextV1
         0     0% 40.68%   971.91MB  9.68%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationCacheV1).openPartition
         0     0% 40.68%   971.91MB  9.68%  github.com/snissn/gomap/TreeDB/nativewire.(*collectionVectorPartitionGenerationLeaseV1).OpenPartition
         0     0% 40.68%   954.09MB  9.51%  github.com/snissn/gomap/TreeDB/collections.VectorPartitionManifestV1.integrityDigestWithContextV1.func4
  120.26MB  1.20% 41.88%   895.97MB  8.93%  github.com/snissn/gomap/TreeDB/collections.(*Collection).newColumnVectorGraphTypedColumnVectorSource
         0     0% 41.88%   895.97MB  8.93%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphTypedColumnVectorSourceForReader
  894.29MB  8.91% 50.79%   894.29MB  8.91%  github.com/snissn/gomap/TreeDB/internal/typedcolumn.EncodeRawUint32OffsetsListPayload
   24.16MB  0.24% 51.03%   892.13MB  8.89%  github.com/snissn/gomap/TreeDB/internal/commitlog.DecodeCollectionInsertBatchByIDPayload
         0     0% 51.03%   892.13MB  8.89%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayload
         0     0% 51.03%   892.13MB  8.89%  github.com/snissn/gomap/TreeDB/internal/commitlog.validateCommandEnvelopePayloadV2
