File: collections.test
Type: cpu
Time: 2026-05-25 19:25:34 HST
Duration: 34.41s, Total samples = 29.28s (85.10%)
Showing nodes accounting for 26.14s, 89.28% of 29.28s total
Dropped 439 nodes (cum <= 0.15s)
      flat  flat%   sum%        cum   cum%
     0.03s   0.1% 88.22%      0.22s  0.75%  github.com/snissn/gomap/TreeDB/internal/typeddecode.classifyViewError
     0.03s   0.1% 88.32%      0.17s  0.58%  strconv.genericFtoa
     0.02s 0.068% 88.39%     16.22s 55.40%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).insertVectorLocked
     0.02s 0.068% 88.46%      1.90s  6.49%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).expandCandidateAdjacencyLayer
     0.02s 0.068% 88.52%      0.19s  0.65%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).greedyNearestAtLayer
     0.02s 0.068% 88.59%      0.19s  0.65%  github.com/snissn/gomap/TreeDB/collections.(*vectorIndexMinCandidateHeap).pop
     0.02s 0.068% 88.66%      1.69s  5.77%  github.com/snissn/gomap/TreeDB/collections.columnVectorGraphLittleEndianUint32DirectView
     0.02s 0.068% 88.73%      0.33s  1.13%  github.com/snissn/gomap/TreeDB/collections.vectorBenchmarkDocument
     0.02s 0.068% 88.80%      0.28s  0.96%  runtime.(*mcentral).cacheSpan
     0.02s 0.068% 88.87%      0.29s  0.99%  slices.pdqsortCmpFunc[go.shape.struct { github.com/snissn/gomap/TreeDB/collections.nodeID int; github.com/snissn/gomap/TreeDB/collections.distance float32 }]
     0.02s 0.068% 88.93%      0.46s  1.57%  strconv.atof32
     0.01s 0.034% 88.97%      0.16s  0.55%  fmt.(*pp).fmtInteger
     0.01s 0.034% 89.00%      1.06s  3.62%  fmt.Errorf
     0.01s 0.034% 89.04%      2.01s  6.86%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).Search
     0.01s 0.034% 89.07%      1.27s  4.34%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).selectLayerNeighborsLocked
     0.01s 0.034% 89.11%      0.23s  0.79%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).sortVectorIndexCandidatesByDistanceLocked
     0.01s 0.034% 89.14%      0.28s  0.96%  github.com/snissn/gomap/TreeDB/collections.columnVectorGraphNativeCosineScoreVector
     0.01s 0.034% 89.17%      1.66s  5.67%  github.com/snissn/gomap/TreeDB/internal/typeddecode.Uint32ByteView
     0.01s 0.034% 89.21%      0.27s  0.92%  runtime.convTstring
     0.01s 0.034% 89.24%      0.88s  3.01%  runtime.newstack
     0.01s 0.034% 89.28%      0.47s  1.61%  strconv.parseFloatPrefix
         0     0% 89.28%      0.31s  1.06%  encoding/json.(*Decoder).Decode
         0     0% 89.28%      0.17s  0.58%  encoding/json.(*decodeState).arrayInterface
         0     0% 89.28%      0.19s  0.65%  encoding/json.(*decodeState).object
         0     0% 89.28%      0.18s  0.61%  encoding/json.(*decodeState).objectInterface
         0     0% 89.28%      0.19s  0.65%  encoding/json.(*decodeState).unmarshal
         0     0% 89.28%      0.19s  0.65%  encoding/json.(*decodeState).value
         0     0% 89.28%      0.18s  0.61%  encoding/json.(*decodeState).valueInterface
         0     0% 89.28%      0.20s  0.68%  fmt.Sprintf
         0     0% 89.28%      0.46s  1.57%  github.com/buger/jsonparser.Get (inline)
         0     0% 89.28%      0.46s  1.57%  github.com/buger/jsonparser.internalGet
         0     0% 89.28%     13.07s 44.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).BuildVectorIndex
         0     0% 89.28%      0.42s  1.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).InsertBatch
         0     0% 89.28%      1.18s  4.03%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorIndexSearcher (inline)
         0     0% 89.28%      3.68s 12.57%  github.com/snissn/gomap/TreeDB/collections.(*Collection).RebuildVectorIndex
         0     0% 89.28%     13.22s 45.15%  github.com/snissn/gomap/TreeDB/collections.(*Collection).ScanDocumentsFunc
         0     0% 89.28%     13.07s 44.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).buildVectorIndex (inline)
         0     0% 89.28%     13.07s 44.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).buildVectorIndexPrepared
         0     0% 89.28%     13.01s 44.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).buildVectorIndexPrepared.func2
         0     0% 89.28%      0.17s  0.58%  github.com/snissn/gomap/TreeDB/collections.(*Collection).columnVectorGraphPhysicalRowReaderSnapshotViewAtSnapshot
         0     0% 89.28%      0.19s  0.65%  github.com/snissn/gomap/TreeDB/collections.(*Collection).columnVectorGraphRowsFromCatalogSnapshot
         0     0% 89.28%      0.42s  1.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatch (inline)
         0     0% 89.28%      0.42s  1.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchNoIndex
         0     0% 89.28%      0.26s  0.89%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchNoIndex.func4
         0     0% 89.28%      0.42s  1.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchOnce
         0     0% 89.28%      0.42s  1.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchOnceWithLockState
         0     0% 89.28%      0.42s  1.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchWithCommandWALIntent
         0     0% 89.28%      0.42s  1.43%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchWithCommandWALIntent.func1
         0     0% 89.28%      1.19s  4.06%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0% 89.28%      1.18s  4.03%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openVectorIndexSearcher
         0     0% 89.28%      0.26s  0.89%  github.com/snissn/gomap/TreeDB/collections.(*Collection).publishRootDeltaGroupMaybeColumn
         0     0% 89.28%      3.68s 12.57%  github.com/snissn/gomap/TreeDB/collections.(*Collection).rebuildVectorIndexWithCommandWALIntent
         0     0% 89.28%      0.18s  0.61%  github.com/snissn/gomap/TreeDB/collections.(*Collection).scanDocumentsFuncWithColumnReconstruction
         0     0% 89.28%      0.26s  0.89%  github.com/snissn/gomap/TreeDB/collections.(*Collection).withCommandWALPublishCoordinator
         0     0% 89.28%      0.15s  0.51%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).CheckRecall
         0     0% 89.28%      0.15s  0.51%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).checkRecallExactBatch
         0     0% 89.28%      0.15s  0.51%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).distanceBetweenNodesLocked
         0     0% 89.28%      0.84s  2.87%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).rerankCandidates
         0     0% 89.28%      0.98s  3.35%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndex).searchCandidatesLocked
         0     0% 89.28%      0.45s  1.54%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndexSearcher).Close
         0     0% 89.28%      0.99s  3.38%  github.com/snissn/gomap/TreeDB/collections.(*VectorIndexSearcher).Search
         0     0% 89.28%      0.45s  1.54%  github.com/snissn/gomap/TreeDB/collections.(*columnPhysicalAssetReadCache).close
         0     0% 89.28%      0.39s  1.33%  github.com/snissn/gomap/TreeDB/collections.(*columnPhysicalAssetReadCache).fileForRef
         0     0% 89.28%      1.01s  3.45%  github.com/snissn/gomap/TreeDB/collections.(*columnPhysicalAssetReadCache).read
         0     0% 89.28%      0.45s  1.54%  github.com/snissn/gomap/TreeDB/collections.(*columnPhysicalAssetSegmentReader).close
         0     0% 89.28%      0.45s  1.54%  github.com/snissn/gomap/TreeDB/collections.(*columnPhysicalRowReader).Close
         0     0% 89.28%      1.01s  3.45%  github.com/snissn/gomap/TreeDB/collections.(*columnPhysicalRowReader).buildOrdinalRanges
         0     0% 89.28%      0.45s  1.54%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).Close
         0     0% 89.28%      1.83s  6.25%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).rawCandidateAdjacencyWithDirectView
         0     0% 89.28%      0.47s  1.61%  github.com/snissn/gomap/TreeDB/collections.(*columnVectorGraphPhysicalRowReader).scoreAndPushFrontierVisited
         0     0% 89.28%      5.21s 17.79%  github.com/snissn/gomap/TreeDB/collections.BenchmarkCollectionVectorIndexSearch
         0     0% 89.28%     10.40s 35.52%  github.com/snissn/gomap/TreeDB/collections.BenchmarkCollectionVectorIndexSearchInt8
         0     0% 89.28%      2.08s  7.10%  github.com/snissn/gomap/TreeDB/collections.BenchmarkColumnVectorGraphNativeSearchCosineTypedColumnV3
         0     0% 89.28%      2.08s  7.10%  github.com/snissn/gomap/TreeDB/collections.BenchmarkColumnVectorGraphNativeSearchCosineV3
         0     0% 89.28%      2.73s  9.32%  github.com/snissn/gomap/TreeDB/collections.BenchmarkOpenVectorIndexSearcherColumnGraphNativeReaderSetupV6
         0     0% 89.28%      1.99s  6.80%  github.com/snissn/gomap/TreeDB/collections.BenchmarkOpenVectorIndexSearcherColumnGraphNativeReaderV4
         0     0% 89.28%      4.16s 14.21%  github.com/snissn/gomap/TreeDB/collections.benchmarkColumnVectorGraphNativeSearchCosineV3
         0     0% 89.28%      3.47s 11.85%  github.com/snissn/gomap/TreeDB/collections.buildColumnVectorGraphAdjacency
         0     0% 89.28%      0.27s  0.92%  github.com/snissn/gomap/TreeDB/collections.extractColumnDeclaredRowsFromJSONDocuments
         0     0% 89.28%      0.45s  1.54%  github.com/snissn/gomap/TreeDB/collections.insertColumnGraphRebuildRowsV2A
