File: collections.test
Type: alloc_space
Time: 2026-05-25 19:26:09 HST
Showing nodes accounting for 5606.46MB, 93.35% of 6005.77MB total
Dropped 302 nodes (cum <= 30.03MB)
      flat  flat%   sum%        cum   cum%
         0     0% 93.35%   418.79MB  6.97%  encoding/json.(*decodeState).value
         0     0% 93.35%   303.09MB  5.05%  github.com/snissn/gomap/TreeDB/collections.(*Collection).BuildVectorIndex
         0     0% 93.35%   183.63MB  3.06%  github.com/snissn/gomap/TreeDB/collections.(*Collection).GetInto
         0     0% 93.35%   529.74MB  8.82%  github.com/snissn/gomap/TreeDB/collections.(*Collection).InsertBatch
         0     0% 93.35%   363.75MB  6.06%  github.com/snissn/gomap/TreeDB/collections.(*Collection).OpenVectorIndexSearcher (inline)
         0     0% 93.35%   397.59MB  6.62%  github.com/snissn/gomap/TreeDB/collections.(*Collection).RebuildVectorIndex
         0     0% 93.35%   427.17MB  7.11%  github.com/snissn/gomap/TreeDB/collections.(*Collection).ScanDocumentsFunc
         0     0% 93.35%    65.14MB  1.08%  github.com/snissn/gomap/TreeDB/collections.(*Collection).buildColumnPublishPlanForCommandWALContext
         0     0% 93.35%    65.14MB  1.08%  github.com/snissn/gomap/TreeDB/collections.(*Collection).buildColumnPublishPlanForCommandWALContext.func1
         0     0% 93.35%   303.09MB  5.05%  github.com/snissn/gomap/TreeDB/collections.(*Collection).buildVectorIndex (inline)
         0     0% 93.35%   303.09MB  5.05%  github.com/snissn/gomap/TreeDB/collections.(*Collection).buildVectorIndexPrepared
         0     0% 93.35%   252.06MB  4.20%  github.com/snissn/gomap/TreeDB/collections.(*Collection).buildVectorIndexPrepared.func2
         0     0% 93.35%   302.91MB  5.04%  github.com/snissn/gomap/TreeDB/collections.(*Collection).columnVectorGraphRowsFromCatalogSnapshot
         0     0% 93.35%   529.74MB  8.82%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatch (inline)
         0     0% 93.35%   301.94MB  5.03%  github.com/snissn/gomap/TreeDB/collections.(*Collection).insertBatchNoIndex.func4
