File: treedb_vector_partition_bench
Build ID: 98e16ee18e0b970254196800f211453591690330
Type: cpu
Time: 2026-08-09 17:07:48 HST
Duration: 7.57s, Total samples = 15.12s (199.76%)
Showing nodes accounting for 2.92s, 19.31% of 15.12s total
Dropped 564 nodes (cum <= 0.08s)
Showing top 60 nodes out of 292
      flat  flat%   sum%        cum   cum%
         0     0%  7.41%      1.85s 12.24%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReader
         0     0%  7.41%      1.85s 12.24%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot
         0     0%  7.41%      1.84s 12.17%  runtime.systemstack
         0     0%  7.41%      1.76s 11.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).acquireColumnVectorGraphSharedPreparedSearch
         0     0%  7.41%      1.76s 11.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).openColumnVectorGraphPhysicalRowReaderAtSnapshot.func1
         0     0%  7.41%      1.76s 11.64%  github.com/snissn/gomap/TreeDB/collections.(*Collection).prepareColumnVectorGraphPhysicalRowReaderSourcesAtSnapshot
     0.01s 0.066%  7.47%      1.73s 11.44%  crypto/internal/fips140/sha256.(*Digest).Write
         0     0%  7.47%      1.72s 11.38%  crypto/internal/fips140/sha256.block
     1.72s 11.38% 18.85%      1.72s 11.38%  crypto/internal/fips140/sha256.blockSHANI
         0     0% 18.85%      1.71s 11.31%  github.com/snissn/gomap/TreeDB/collections.canonicalVectorPartitionLifecycleCheckpointWithContextV1
         0     0% 18.85%      1.30s  8.60%  github.com/snissn/gomap/TreeDB/collections.vectorPartitionBuildingPromotionIdentityV1
     0.05s  0.33% 19.18%      1.29s  8.53%  github.com/snissn/gomap/TreeDB/collections.(*columnHNSWSearchPackPreparedView).scoreAndPushFrontierVisitedTile
     0.02s  0.13% 19.31%      1.28s  8.47%  runtime.gcBgMarkWorker
         0     0% 19.31%      1.26s  8.33%  github.com/snissn/gomap/TreeDB/collections.decodeVectorPartitionLifecycleCheckpointCanonicalWithContextV1
         0     0% 19.31%      1.26s  8.33%  runtime.gcBgMarkWorker.func2
